time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
137	18.394085398197024	5.62	327.54	435.73	4.67	3.68	21.18	272.11	280.88	4.32	5.23	5.98	14.16	8.49	7.72	9.14	35.14	35.70	5.58	8.86	5.74	35.17	32.32	32.53	0.77	2.38	1.19	50.03	0.97	1.39	82.73	59.29	60.92	2.83
138	29.323074110277517	9.38	312.49	425.20	4.61	3.69	19.89	267.51	273.92	3.22	4.93	5.58	13.21	7.32	8.29	13.33	22.91	33.25	158.09	8.83	6.09	31.06	27.41	32.21	20.72	0.22	1.26	480.73	1.71	1.28	46.41	58.60	59.63	1.82
139	64.30911562346903	22.99	279.77	415.07	5.58	3.71	33.61	244.44	267.10	12.88	6.85	5.21	23.94	10.11	8.91	19.44	8.71	30.93	609.78	7.76	6.46	16.81	41.31	31.90	51.00	0.50	1.33	509.09	0.63	1.18	87.70	60.98	58.36	4.80
140	62.28536190327109	23.62	263.64	405.33	5.64	3.72	34.05	242.90	260.42	10.03	7.14	4.86	32.03	10.30	9.57	11.55	7.11	28.75	726.93	8.79	6.85	22.15	20.00	31.58	129.62	0.86	1.40	192.84	1.24	1.09	11.87	53.12	57.11	8.37
141	23.494898875147207	8.38	280.34	393.80	4.75	3.68	22.36	249.79	252.46	1.49	4.76	4.55	4.44	10.75	9.98	11.85	15.39	26.69	175.48	8.87	7.07	20.34	30.47	31.42	6.94	1.62	1.47	29.43	3.68	1.01	72.63	57.38	55.48	3.68
142	47.49542821378601	15.95	297.71	381.01	4.91	3.61	26.47	262.61	243.61	10.06	6.57	4.28	34.84	9.58	10.17	10.15	19.34	24.76	66.97	6.95	7.16	3.02	36.90	31.37	33.57	0.00	1.53	Infinity	6.21	0.94	84.95	59.92	53.58	11.79
143	26.85383895734104	10.11	265.67	367.36	4.84	3.51	27.42	237.10	234.13	1.74	8.20	4.04	50.73	9.35	10.20	14.84	13.05	22.95	181.59	6.88	7.14	3.75	33.96	31.41	16.78	2.11	1.60	74.66	3.51	0.87	75.14	49.80	51.50	3.79
144	41.87770717889264	16.19	258.69	353.19	1.71	3.39	98.18	243.70	224.28	11.08	6.93	3.83	44.72	10.80	10.10	10.62	17.56	21.27	50.49	4.79	7.04	46.91	27.32	31.52	34.45	1.80	1.67	22.73	3.04	0.82	73.16	44.82	49.28	11.10
145	44.178250329287344	19.69	224.42	338.77	1.65	3.26	97.09	213.62	214.23	0.40	7.71	3.64	52.80	7.27	9.90	59.23	7.88	19.69	358.35	4.75	6.87	44.80	18.65	31.69	156.39	0.00	1.73	Infinity	2.64	0.77	70.97	42.31	46.99	12.35
146	85.0632823434771	39.84	213.50	324.32	4.50	3.11	83.49	172.52	204.14	21.64	5.67	3.46	38.94	10.46	9.62	18.95	3.54	18.22	614.95	9.73	6.66	64.49	9.44	31.90	238.07	1.51	1.80	19.68	2.69	0.72	73.20	38.14	44.67	18.75
